compound,temperature,conductivity,log10_target,log10_predict,Ionic_Conductivity,residue
Li5.0 La3.0Ta2.0O12,300,7.18e-07,-6.1438755557577,-6.157280051,6.96e-07,0.16572258
Li5.5 La3.0Zr0.5Ta1.5O12,300,9.3e-05,-4.031517051446065,-3.555904921,0.000278,0.024981361
Li6.05 La2.95Zr1.0Ca0.05Ta1.0O12,300,0.000129,-3.889410289700751,-4.506202462,3.12e-05,0.001036166
Li6.0 La3.0Zr1.0Bi1.0O12,300,1.2e-05,-4.920818753952375,-3.935217702,0.000116,0.370231401
Li6.0 La3.0Zr1.0Sb1.0O12,300,0.00026,-3.5850266520291822,-3.960597157,0.000109,0.596616657
Li6.2 La3.0Zr1.2Sb0.8O12,300,0.00045,-3.3467874862246565,-3.184115696,0.000654,0.682196207
Li6.2 La3.0Zr1.2Ta0.8O12,300,4.9e-06,-5.309803919971486,-5.438619439,3.64e-06,2.14231434
Li6.25 La3.0Zr1.25Bi0.75O12,300,0.0002,-3.6989700043360187,-3.79472178,0.00016,0.069139218
Li6.3 La3.0Zr1.3Ta0.7O12,300,0.00032,-3.494850021680094,-3.350223981,0.000446,0.085779511
Li6.375 La3.0Zr1.375Nb0.625O12,300,0.00137,-2.8632794328435933,-2.9856673,0.00103,0.739435179
Li6.3 La2.9Zr1.4Ca0.2Ta0.6O12,300,0.00035,-3.4559319556497243,-3.129265903,0.000743,0.000756584
Li6.4 La3.0Zr1.4Sb0.6O12,300,0.00066,-3.1804560644581312,-3.020775927,0.000953,0.517964553
Li6.87 La2.97Zr1.6Ta0.56O12,300,0.00135,-2.869666231504994,-2.773782492,0.00168,0.758225711
Li5.9 La3.0Zr1.45W0.55O12,300,0.00044,-3.3565473235138126,-3.234618151,0.000583,0.787607732
Li7.07 La2.87Zr1.53Ta0.54O12,300,0.00029,-3.537602002101044,-3.802813258,0.000157,0.051238709
Li6.5 La3.0Zr1.5Bi0.5O12,300,7.2e-06,-5.142667503568732,-5.5822689,2.62e-06,1.797971447
Li6.5 La3.0Zr1.5Nb0.5O12,300,4.4e-05,-4.356547323513813,-5.021020671,9.53e-06,0.485267447
Li7.13 La2.93Zr1.48Ta0.47O12,300,0.0001,-4.0,-4.157781474,6.95e-05,0.110270354
Li6.94 La3.05Zr1.54Ta0.47O12,300,0.000418,-3.378823718224965,-2.89170504,0.00128,0.117077354
Li7.11 La2.95Zr1.49Ta0.46O12,300,0.000108,-3.96657624451305,-3.701223129,0.000199,0.103703913
Li6.1 La3.0Zr1.55W0.45O12,300,0.00064,-3.193820026016113,-3.056155441,0.000879,0.873698249
Li6.8 La2.8Zr1.6Sr0.2Sb0.4O12,300,0.000172,-3.764471553092451,-3.839719636,0.000145,0.051031659
Li6.75 La2.85Zr1.6Sr0.15Sb0.4O12,300,0.000485,-3.3142582613977365,-3.068002214,0.000855,0.056267255
Li6.7 La2.9Zr1.6Sr0.1Sb0.4O12,300,0.000533,-3.2732727909734276,-3.021462466,0.000952,0.077063221
Li6.66 La2.94Zr1.6Sr0.06Sb0.4O12,300,0.000883,-3.0540392964224314,-2.933499806,0.00117,0.156150367
Li6.62 La2.98Zr1.6Sr0.02Sb0.4O12,300,0.000363,-3.4400933749638876,-3.447515598,0.000357,0.000809401
Li7.0 La3.0Zr1.6Ge0.4O12,300,4.4e-05,-4.356547323513813,-4.430350645,3.71e-05,0.266863205
Li6.3 La3.0Zr1.65W0.35O12,300,0.00066,-3.1804560644581312,-3.583799476,0.000125592,0.519238235
Li7.0 La3.0Zr1.7Ge0.3O12,300,0.000478,-3.3205721033878812,-3.442091964,0.000152118,0.247254722
Li6.4 La3.0Zr1.7Mo0.3O12,300,0.000353,-3.452225294612177,-3.897131362,0.000160489,0.117188762
Li6.4 La3.0Zr1.7W0.3O12,300,0.000789,-3.10292299679058,-2.854478361,0.000161164,0.475835751
Li6.7 La3.0Zr1.7Ta0.3O12,300,0.00103,-2.9871627752948275,-2.262246314,0.000244923,0.38913627
Li6.65 La2.95Zr1.75Ga0.05Ba0.05Ta0.25O12,300,0.00072,-3.1426675035687315,-3.164752562,0.000294341,0.150917545
Li6.8 La2.95Zr1.75Ba0.05Ta0.25O12,300,0.00065,-3.1870866433571443,-2.965043345,0.000339891,0.079283919
Li5.9 La3.0Zr1.75Al0.2W0.25O12,300,0.00052,-3.283996656365201,-3.341623561,0.000319011,0.045027605
Li6.75 La3.0Zr1.75Bi0.25O12,300,5e-06,-5.301029995663981,-5.161133746,0.000174991,2.384073831
Li6.75 La3.0Zr1.75Nb0.25O12,300,0.0008,-3.0969100130080562,-2.525057017,0.00022111,0.311900641
Li6.5 La3.0Zr1.75W0.25O12,300,0.00049,-3.309803919971486,-3.120578084,0.000189285,0.170634142
Li5.9 La3.0Zr1.8Ga0.3Nb0.2O12,300,0.000372,-3.4294570601181027,-3.905073569,0.000563099,0.032415068
Li6.05 La3.0Zr1.8Ga0.25Nb0.2O12,300,0.000504,-3.2975694635544746,-3.207922431,0.001888227,0.329044173
Li6.2 La3.0Zr1.8Ga0.2Nb0.2O12,300,0.00072,-3.1426675035687315,-2.821180413,0.002191931,0.233766791
Li6.35 La3.0Zr1.8Ga0.15Nb0.2O12,300,0.000739,-3.1313555616051745,-3.315259416,0.002395833,0.260928993
Li6.5 La3.0Zr1.8Ga0.1Nb0.2O12,300,0.000675,-3.170696227168975,-2.688901275,0.001915665,0.205223224
Li7.1 La3.0Zr1.9Cr0.2O12,300,0.00024,-3.619788758288394,-4.041687348,0.000166978,0.024822337
Li7.2 La3.0Zr1.8Gd0.2O12,300,0.00023,-3.638272163982407,-3.884495319,0.000217456,0.000593238
Li7.0 La3.0Zr1.8Ge0.2O12,300,0.000252,-3.598599459218456,-3.579242071,0.000160088,0.038825762
Li6.6 La3.0Zr1.8Mo0.2O12,300,0.000509,-3.2932822176632413,-3.915743077,0.000196958,0.170027058
Li6.8 La3.0Zr1.8Sb0.2O12,300,5.9e-05,-4.229147988357856,-4.224040195,0.00010562,0.063956307
Li6.8 La3.0Zr1.8Nb0.2O12,300,0.000357,-3.447331783887807,-3.618771521,0.000255191,0.021258546
Li6.0 La3.0Zr1.5W0.15O12,300,0.000208,-3.6819366650372385,-3.880280224,6.6e-05,0.24844408
Li6.7 La3.0Zr1.85W0.15O12,300,0.00027,-3.5686362358410126,-3.192112033,0.000186401,0.025893475
Li7.0 La3.0Zr1.9Ge0.1O12,300,0.000149,-3.826813731587726,-3.390554518,0.000164038,0.001743723
Li6.8 La3.0Zr1.9Mo0.1O12,300,0.000246,-3.6090648928966207,-3.534398876,0.000150517,0.045518587
Li6.625 La3.0Zr1.925Al0.1Sb0.075O12,300,0.000235,-3.6289321377282637,-3.762811305,0.000252942,0.001021026
Li6.7 La3.0Zr1.925Al0.075Sb0.075O12,300,0.000345,-3.462180904926726,-3.489999826,0.000246228,0.021456857
Li6.775 La3.0Zr1.925Al0.05Sb0.075O12,300,0.00041,-3.3872161432802645,-3.70001766,0.000260254,0.038961687
Li7.06 La3.0Zr1.94Sm0.06O12,300,0.000246,-3.6090648928966207,-3.469302115,0.000231991,0.000648369
Li7.06 La3.0Zr1.94Y0.06O12,300,0.000956,-3.0195421077239,-2.714033113,0.000222137,0.401748493
Li6.4 La2.4Zr2.0Ce0.6O12,300,1.26e-05,-4.8996294548824375,-5.032507066,0.000169796,1.275896071
Li6.8 La2.6Zr2.0Ga0.2Sr0.4O12,300,3.03e-05,-4.518557371497695,-4.839356644,0.000203099,0.682712906
Li6.6 La2.6Zr2.0Ce0.4O12,300,1.44e-05,-4.841637507904751,-4.936870893,0.000156791,1.075283163
Li6.7 La2.7Zr2.0Ga0.2Sr0.3O12,300,0.000195,-3.709965388637482,-2.978720808,0.000186071,0.000414341
Li6.5 La2.8Zr2.0Ga0.3Rb0.2O12,300,0.00116,-2.9355420107730814,-2.997479419,0.000329137,0.29929821
Li6.6 La2.8Zr2.0Ga0.2Sr0.2O12,300,0.000346,-3.4609239012072233,-3.530661644,0.00022028,0.038455421
Li6.4 La2.85Zr2.0Ga0.3Rb0.15O12,300,0.00104,-2.9829666607012197,-3.178969438,0.000376858,0.194353651
Li6.3 La2.9Zr2.0Ga0.3Rb0.1O12,300,0.00153,-2.815308569182401,-2.891451332,0.000417285,0.318387891
Li6.5 La2.9Zr2.0Ga0.2Sr0.1O12,300,0.00055,-3.2596373105057563,-3.193076355,0.000258138,0.107919416
Li6.66 La2.94Zr2.0Sr0.06O12,300,3.67e-05,-4.435333935747911,-4.637190865,0.000171012,0.446706125
Li6.2 La2.95Zr2.0Ga0.3Rb0.05O12,300,0.00162,-2.7904849854573692,-3.033617613,0.000440737,0.319603883
Li7.05 La2.95Zr2.0Ca0.05O12,300,8.59e-06,-5.066006836168758,-5.302767651,0.000219325,1.979914574
Li7.02 La2.98Zr2.0Ca0.02O12,300,7.09e-06,-5.149353764816934,-5.534582945,0.000178767,1.964594845
Li5.5 La3.0Zr2.0Ga0.5O12,300,5.81e-05,-4.235823867609669,-4.178816651,3.03e-05,0.080299939
Li5.8 La3.0Zr2.0Ga0.4O12,300,0.00057,-3.2441251443275085,-3.145535544,6.73e-05,0.860327667
Li5.95 La3.0Zr2.0Ga0.35O12,300,0.00071,-3.1487416512809245,-3.272339539,7.51e-05,0.951726126
Li6.58 La3.0Zr1.96Al0.32O12,300,0.000245,-3.6108339156354674,-3.733122231,0.00017364,0.022354972
Li6.16 La3.0Zr2.0Al0.28O12,300,1.92e-05,-4.716698771296451,-4.421093209,0.000194163,1.009755954
Li6.23 La3.0Zr1.88Al0.26O12,300,0.00025,-3.6020599913279625,-3.468724366,0.000160796,0.036735329
Li6.27 La3.0Zr1.96Al0.25O12,300,0.000448,-3.348721986001856,-3.432454339,0.000226956,0.087223555
Li6.15 La3.0Zr2.0Al0.25O12,300,0.000124,-3.906578314837765,-4.23921543,0.000163929,0.01469754
Li6.23 La3.0Zr2.0Ga0.2O12,300,0.00072,-3.1426675035687315,-3.462096463,0.000237009,0.232871366
Li6.91 La3.0Zr2.0Ga0.2O12,300,0.00043,-3.3665315444204134,-3.11472735,0.000199585,0.111116098
Li6.79 La3.0Zr2.0Ga0.2O12,300,0.0008,-3.0969100130080562,-3.176271243,0.000204741,0.350328264
Li6.55 La3.0Zr2.0Ga0.2O12,300,0.00109,-2.962573502059376,-3.571105038,0.00023933,0.433529082
Li6.28 La3.0Zr2.0Ga0.2O12,300,0.00074,-3.1307682802690238,-2.530429199,0.000281814,0.175786207
Li6.3 La3.0Zr2.0Ga0.2O12,300,0.00087,-3.0604807473813813,-2.692207804,0.000281814,0.239665264
Li7.05 La3.0Zr1.98Al0.16O12,300,0.000221,-3.6556077263148894,-3.826031771,0.000153136,0.02538139
Li6.4 La3.0Zr2.0Ge0.15O12,300,8.05e-05,-4.094204119632131,-4.303094762,0.000228708,0.205649765
Li7.42 La3.0Zr1.97Al0.14O12,300,0.000189,-3.7235381958267557,-3.808630432,0.000156229,0.00683923
Li6.61 La3.0Zr2.0Al0.13O12,300,0.000135,-3.869666231504994,-3.719936398,0.000170112,0.010080314
Li6.91 La3.0Zr1.98Al0.13O12,300,0.000208,-3.6819366650372385,-3.64418456,0.000184262,0.002769546
Li6.7 La3.0Zr2.0Al0.1O12,300,0.000141,-3.85078088734462,-3.976658429,0.000201393,0.023970839
Li6.6 La3.0Zr2.0Ge0.1O12,300,0.00028,-3.552841968657781,-3.582228202,0.000179638,0.037156231
Li6.85 La3.0Zr2.0Al0.05O12,300,9.9e-05,-4.00436480540245,-3.961666964,0.000194513,0.086032948
Li6.8 La3.0Zr2.0Ge0.05O12,300,2.91e-05,-4.536107011014093,-4.138354933,0.000170435,0.589309495
Li6.85 La3.09Zr2.07O12,300,0.000168,-3.774690718274137,-3.748197588,3.26e-06,2.930114038
Li6.0 La3.0Zr1.0Ta1.0O12,300,0.0001715,-3.765735875621211,-3.965843844,0.00017085,0.1215386255
Li6.1 La3.0Zr2.0Ga0.3O12,300,0.00112,-2.9507819773298185,-3.018813713,0.000117695,0.957382384
Li6.24 La3.0Zr2.0Al0.3O12,300,8.78e-05,-4.056505484093897,-3.688358759,0.000220989,0.160700905
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00026,-3.5850266520291822,-3.59510852,0.000240671,0.069176946
Li6.25 La3.0Zr2.0Ga0.25O12,300,0.0011,-2.958607314841775,-3.208589878,0.000265978,0.380129947
Li6.28 La3.0Zr2.0Al0.24O12,300,0.00023,-3.638272163982407,-3.7298189600000002,0.000222602,0.07220984550000001
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.000255,-3.593459819566045,-3.81312971,0.0001595,0.0085806205
Li6.4 La3.0Zr2.0Al0.2O12,300,0.000115,-3.939302159646388,-3.905324549,0.000180189,0.038036452
Li6.4 La3.0Zr2.0Fe0.2O12,300,0.000764,-3.11690664142431,-3.283993304,0.000259862,0.219824764
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.00107,-2.9706162223147903,-3.3021063035,0.000271936,0.3521938745
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,0.0003435,-3.4640732586044307,-3.819876348,0.00017109999999999998,0.0060018455
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,0.00011999999999999999,-3.9208187539523753,-4.001511053,0.00019380000000000002,0.1196857295
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.4e-05,-4.853871964321762,-4.330736559,4.67e-05,1.404702688
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.74e-05,-4.7594507517174005,-4.275815412,0.000157172,0.913601525
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.00113,-2.9469215565165805,-2.961362057,0.000232134,0.472434958
Li6.6 La3.0Zr1.6Sb0.4O12,300,0.00043999999999999996,-3.3565473235138126,-3.1664560914999997,0.000166167,0.237789764
Li6.6 La3.0Zr1.6Ta0.4O12,300,0.00026,-3.5850266520291822,-3.9582786729999997,0.000219515,0.1254282145
Li6.7 La3.0Zr2.0Ga0.1O12,300,4.25e-05,-4.371611069949688,-4.182819908,0.000211267,0.578995301
Li6.75 La3.0Zr1.75Ta0.25O12,300,0.000655,-3.183758700008217,-3.31338224,0.00025661,0.165622572
Li6.8 La3.0Zr1.8Ta0.2O12,300,6.54e-05,-4.184422251675732,-4.033417428,0.000254812,0.34885767
Li6.925 La3.0Zr1.925Sb0.075O12,300,0.00030250000000000003,-3.5192746210115122,-3.4947338324999997,0.000118016,0.167296466
Li7.0 La3.0Zr2.0O12,300,0.0001435,-3.843148098929989,-4.1214422895,3.09e-06,2.727354933
