ID,composition,source,temperature,target,log_target,family,ChemicalFamily
289,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,293.15,8.08e-06,-5.092588639225414,Garnet,Oxides
169,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,10.1016/j.ssi.2004.05.009,294.15,0.000676,-3.170053304058364,NASICON,Oxides
172,Li1.4Al0.4Ti1.6(PO4)3,10.1016/j.ssi.2006.04.010,294.15,0.000917,-3.037630664329979,NASICON,Oxides
189,"""(Li2S)0.4 ((Ga2S3)0.1 (GeS2)0.9)0.6""",10.1016/j.ssi.2007.10.011,294.15,2.87e-06,-5.542118103266008,Glass,Sulphides
248,Li1.076Al0.6923Ti1.462(PO4)3,10.1016/S0167-2738(97)00018-0,294.15,0.000825,-3.083546051450075,NASICON,Oxides
891,Li6MgLa2Ta2O12,10.1149/1.2800764,294.25,1.92e-07,-6.716698771296451,Garnet,Oxides
250,LiGe2(PO4)3,10.1016/S0167-2738(97)00434-7,294.38,1e-06,-6.0,NASICON,Oxides
99,Li1.3Al0.3Ti1.7(PO4)3,10.1007/s11581-007-0197-5,294.57,3.33e-07,-6.47755576649368,NASICON,Oxides
759,Li6BaLa2Ta2O12 ,10.1002/adfm.200400044,295.15,4e-05,-4.3979400086720375,Garnet,Oxides
760,Li6SrLa2Ta2O12,10.1002/adfm.200400044,295.15,7e-06,-5.154901959985743,Garnet,Oxides
814,Li6BaLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,295.15,6e-06,-5.221848749616356,Garnet,Oxides
815,Li6SrLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,295.15,4.2e-06,-5.376750709602099,Garnet,Oxides
816,Li6CaLa2Nb2O12,10.1111/j.1551-2916.2005.00060.x,295.15,1.6e-06,-5.795880017344075,Garnet,Oxides
2,Li2OHBr,10.1002/aenm.201700971,295.21,5.4e-07,-6.267606240177032,Anti-Perovskite,Oxides and Other Anions
79,Li0.24La0.59TiO3,10.1007/s10717-007-0032-5,296.15,0.000166,-3.779891911959945,Perovskite,Oxides
326,LiHfTi(PO4)3,10.1016/0025-5408(89)90129-3,296.15,5.63e-07,-6.249491605148654,NASICON,Oxides
153,"""(LiCl)0.25 ((Li2O)0.6 (P2O5)0.4)0.75""",10.1016/j.jpowsour.2008.07.089,296.81,2.45e-06,-5.610833915635467,Glass,Oxides and Other Anions
790,Li6.4La3Zr2Ga0.2O12 ,10.1021/cm5008069,297.15,0.0009,-3.0457574905606752,Garnet,Oxides
795,Li6La3Nb1.5Y0.5O12 ,10.1021/jp304737x,297.15,0.000188,-3.72584215073632,Garnet,Oxides
21, Li6.4Al0.19La3Zr2O11.8,10.1016/j.jpowsour.2012.02.100,298.0,0.00031,-3.5086383061657274,Garnet,Oxides
25,Li9.6P3S12,10.1038/nenergy.2016.30,298.0,0.00158,-2.8013429130455774,Thio-LISICON,Sulphides
30,Li1.6Al0.6Ge0.8(PO4)3,10.1021/cm021717j,298.0,0.0007,-3.154901959985743,NASICON,Oxides
31,Li6.55La3Zr2Ga0.9O12,10.1021/cm5008069,298.0,0.0013,-2.886056647693163,Garnet,Oxides
35,LiTi2(PO4)3,10.1021/jp973296c,298.0,3.83e-07,-6.416801226031377,NASICON,Oxides
36,Li9.54Si1.74P1.44S11.7Cl0.3,10.1038/nenergy.2016.30,298.0,0.025,-1.6020599913279623,Thio-LISICON,Sulphides and Other Anions
39,Li7P3S11,10.1039/C3EE41655K,298.0,0.0032,-2.494850021680094,Thio-LISICON,Sulphides
40,Li1.4Al0.4Ti1.6(PO4)3,10.1039/C5TA08545D,298.0,0.00563,-2.2494916051486538,NASICON,Oxides
8,Li6PO5Cl,10.1002/zaac.201000121,298.15,1e-09,-9.0,Argyrodite,Oxides and Other Anions
20,Li7.06La3Zr1.94Y0.06O12,10.1016/j.elecom.2011.08.014,298.15,0.000956,-3.0195421077239,Garnet,Oxides
29,Li1.2Ti1.8Sc0.2(PO4)3,10.1021/acs.inorgchem.6b02274,298.15,0.000231,-3.6363880201078556,NASICON,Oxides
41,Li6.46Al0.15La3Zr1.95O11.86,10.1016/j.ensm.2019.08.017,298.15,8.3e-05,-4.080921907623926,Garnet,Oxides
60,La0.55Li0.36Ti0.992Al0.008O3,10.1007/BF02375549,298.15,0.000654,-3.184422251675733,Perovskite,Oxides
83,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,10.1007/s11581-006-0011-9,298.15,0.000622,-3.2062096153091812,Perovskite,Oxides and Other Anions
86,"""(Li2S)0.4 ((P2S5)0.4 (Sb2S3)0.6)0.6""",10.1007/s11581-006-0054-y,298.15,1.6e-07,-6.795880017344075,Glass,Sulphides
103,LiP0.9I0.1O2.7,10.1007/s11581-008-0252-x,298.15,0.000398,-3.400116927926312,Glass,Oxides and Other Anions
122,"""(Li2O)50 (Al2O3)2 (P2O5)48""",10.1016/j.jeurceramsoc.2008.12.016,298.15,3.16e-09,-8.500312917381596,Glass,Oxides
128,"""(Li2O)50 (Al2O3)3 (P2O5)47""",10.1016/j.jeurceramsoc.2008.12.016,298.15,5.75e-09,-8.24033215531037,Glass,Oxides
129,"""(Li2O)50 (Al2O3)4 (P2O5)46""",10.1016/j.jeurceramsoc.2008.12.016,298.15,9.12e-09,-8.040005161671584,Glass,Oxides
134,"""(LiI)0.3 ((Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7)0.7""",10.1016/j.ssi.2007.10.011,298.15,0.000291,-3.5361070110140926,Glass,Sulphides and Other Anions
135,"""(Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7""",10.1016/j.ssi.2007.10.011,298.15,1.89e-06,-5.723538195826756,Glass,Sulphides and Other Anions
147,"""(Li2S)0.7 (P2S5)0.3""",10.1016/j.jpowsour.2006.04.037,298.15,0.0032,-2.494850021680094,Glass,Sulphides
149,"""(Li2S)0.8 (P2S5)0.2""",10.1016/j.jpowsour.2006.04.037,298.15,0.00112,-2.9507819773298185,Glass,Sulphides
150,"""(Li2S)0.875 (P2S5)0.125""",10.1016/j.jpowsour.2006.04.037,298.15,0.00021,-3.677780705266081,Glass,Sulphides
197,Li6La2SrNb2O12,10.1016/j.ssi.2008.01.047,298.15,6.21e-07,-6.20690839982342,Garnet,Oxides
220,Li6BaLa2Ta2O12 ,10.1016/j.ssi.2008.10.022,298.15,1.28e-05,-4.892790030352131,Garnet,Oxides
239,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015,298.15,1.51e-06,-5.82102305270683,Garnet,Oxides
246,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,298.15,6.5e-05,-4.187086643357144,Thio-LISICON,Sulphides
252,Li4Nd3TeSbO12,10.1021/cm703677q,298.15,8.7e-09,-8.060480747381382,Garnet,Oxides
255,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,298.15,4.4e-07,-6.356547323513812,Glass,Oxides and Other Anions
