Temp_K,Ea_eV,electrolyte,doi,Ionic_Conductivity,Material_Type,avg_electronegativity,avg_atomic_mass,avg_ionic_radius,num_elements,li_fraction,composition_entropy,electronegativity_variance,group_diversity,packing_efficiency_proxy,li_to_anion_ratio,heaviest_element_mass,lightest_element_mass,is_mixture,formula_complexity,total_atoms
293.0157881,0.62246375,Li5La3Ta2O12,10.1016/j.jssc.2024.125154,1.49e-07,Garnet,2.385454545,45.69681818,1.135,4.0,0.227272727,1.157033336,1.352115702,4.0,0.457142857,0.416666667,180.95,6.94,0.0,88.0,22.0
293.0482027,0.323120437,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000285094,NASICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
293.0726838,0.341556947,Li10SiP2S12,10.1021/acsami.2c20193,0.002274083,Thiophosphate,1.8816,21.7708,1.2384,4.0,0.4,1.049634821,0.56690144,4.0,0.217391304,0.833333333,32.07,6.94,0.0,100.0,25.0
293.0952618,0.407909927,Li0.5La0.5TiO3,10.1557/PROC-575-337,0.00040438,Perovskite,2.58,33.759,1.141,4.0,0.1,1.088899975,1.275922222,4.0,0.435714286,0.166666667,138.91,6.94,0.0,20.0,5.0
293.0986981,0.352995002,Li6PS5Cl,10.1021/acs.nanolett.0c02489,0.001845823,Argyrodite,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0
293.0991087,0.299027168,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000646899,NASICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
293.1067735,0.286015696,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000731821,NASICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
293.1318715,0.534900892,LiTa2PO8,10.1016/j.ssi.2020.115314,0.000258397,NASICON,2.8075,43.98416667,1.14,4.0,0.083333333,0.983087759,0.86171875,4.0,0.314285714,0.125,180.95,6.94,0.0,48.0,12.0
293.1533183,0.347784459,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000209437,NASICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
293.1646475,0.316541731,Li10SiP2S12, 10.1149/2.0501412jes,0.00186024,LGPS,1.8816,21.7708,1.2384,4.0,0.4,1.049634821,0.56690144,4.0,0.217391304,0.833333333,32.07,6.94,0.0,100.0,25.0
293.1661311,0.659959971,Li2OHBr,10.1016/j.ssi.2024.116770,1.27e-06,Garnet-Halide,2.112,22.1576,1.05,4.0,0.4,1.33217904,1.010656,3.0,0.18877551,1.0,79.9,1.008,0.0,20.0,5.0
293.1734894,0.164172773,Li7La3Zr2O12,10.1021/acs.chemmater.3c01658,5.65e-05,Garnet,2.254166667,34.98958333,1.110416667,4.0,0.291666667,1.172954578,1.414307639,4.0,0.514285714,0.583333333,138.91,6.94,0.0,96.0,24.0
293.212479,0.309687619,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000542371,NASICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
293.247567,0.201312799,Li6.6La3Zr1.6Sb0.4O12,10.1039/C3CP50991E,5.39e-07,Garnet,2.287966102,35.98262712,1.117033898,5.0,0.279661017,1.214006633,1.359336,5.0,0.514285714,0.55,138.91,6.94,0.0,118.0,23.6
293.3130699,0.357347274,Li3PS4,10.1016/j.jpowsour.2018.04.021,0.000189434,Sulfide,1.93125,22.50875,1.26,3.0,0.375,0.974314753,0.558135938,3.0,0.239130435,0.75,32.07,6.94,0.0,24.0,8.0
293.3333333,0.52662927,Li10SnP2S12,10.1021/ja407393y ,0.002311171,Thio-LISICON,1.884,25.3956,1.25,4.0,0.4,1.049634821,0.567128,4.0,0.239130435,0.833333333,118.71,6.94,0.0,100.0,25.0
293.4062901,0.552523257,Li9SiAlO8,10.1002/anie.200701144,2e-07,Perovskite,2.097368421,12.92263158,0.998947368,4.0,0.473684211,1.028094057,1.364966759,4.0,0.285714286,1.125,28.09,6.94,0.0,76.0,19.0
293.4220526,0.371297222,Li1.3Al0.3Ti1.7(PO4)3 ,10.1016/j.ssi.2015.03.009,0.00058597,LISICON,2.853825137,20.9510929,1.109672131,5.0,0.071038251,1.049159727,0.856755,5.0,0.314285714,0.108333333,47.87,6.94,0.0,91.5,18.3
