Temp_K,Ea_eV,electrolyte,doi,Ionic_Conductivity,Material_Type,avg_electronegativity,avg_atomic_mass,avg_ionic_radius,num_elements,li_fraction,composition_entropy,electronegativity_variance,group_diversity,packing_efficiency_proxy,li_to_anion_ratio,heaviest_element_mass,lightest_element_mass,is_mixture,formula_complexity,total_atoms
293.0058209,0.31030878,NaTaOCl4 ,10.1021/acsenergylett.4c01855,0.000891402,Oxyhalide,2.644285714,51.67714286,1.471428571,4,0,1.153741943,0.849310204,4,0.35359116,0,180.95,16,0,28,7
293.0112849,0.289830177,Li6P1Se5I,10.1021/acs.inorgchem.1c02813,0.000390091,Argyrodite,1.806153846,45.72,1.315384615,4,0.461538462,1.118968867,0.595239053,4,0.2,6,126.9,6.94,0,52,13
293.0112849,0.288503694,Li6.1P0.9Sn0.1Se5I,10.1021/acs.inorgchem.1c02813,0.000699044,Argyrodite,1.798091603,46.09374046,1.313053435,5,0.465648855,1.141110849,0.560944889,5,0.2,6.1,126.9,6.94,0,65.5,13.1
293.0112849,0.286166766,Li6.2P0.8Sn0.2Se5I,10.1021/acs.inorgchem.1c02813,0.001036762,Argyrodite,1.790151515,46.46181818,1.310757576,5,0.46969697,1.151505258,0.560944889,5,0.2,6.2,126.9,6.94,0,66,13.2
293.0128122,0.355658855,Li6.4Ga0.25La2.85Sr0.15Zr2O12,10.1149/2.0171903jes,0.000141674,Garnet,2.280845666,35.74302326,1.115073996,6,0.270613108,1.242043925,1.373998225,6,0.442857143,0.533333333,138.91,6.94,0,141.9,23.65
293.0157881,0.62246375,Li5La3Ta2O12,10.1016/j.jssc.2024.125154,1.49E-07,Garnet,2.385454545,45.69681818,1.135,4,0.227272727,1.157033336,1.352115702,4,0.457142857,0.416666667,180.95,6.94,0,88,22
293.0186824,0.374836068,Li10B10S20-LiI ,10.1021/acsenergylett.4c00057,0.000372371,Thioborates,2.034285714,22.68428571,1.191904762,4,0.261904762,1.134875704,0.442253061,4,0.122727273,0.523809524,126.9,6.94,1,168,42
293.0252752,0.282521304,Li2ZrCl4.8F1.2,10.1021/acsami.3c03513,8.18E-05,Halide ,2.581555556,33.11777778,1.391555556,4,0.222222222,1.182287173,1.212825,3,0.397790055,0.333333333,91.22,6.94,0,36,9
293.0291796,0.43821172,Li6.55Ga0.25La2.7Sr0.3Zr2O12,10.1149/2.0171903jes,5.20E-06,Perovskite,2.271701681,35.23823529,1.113781513,6,0.275210084,1.258354295,1.373998225,6,0.442857143,0.545833333,138.91,6.94,0,142.8,23.8
293.0318996,0.28157891,Li2ZrCl5F,10.1021/acsami.3c03513,0.000101648,Halide ,2.563333333,33.48333333,1.402222222,4,0.222222222,1.149059697,1.146888889,3,0.397790055,0.333333333,91.22,6.94,0,36,9
293.0324961,0.325716613,1.4Li2O-HfCl4,10.1038/s41467-023-39197-8,0.001350043,Halide-Oxide,2.4175,43.77125,1.3575,4,0.25,1.213007566,1.07904375,4,0.386740331,0.4,178.49,6.94,0,32,8
293.0339864,0.317075313,Li3InCl6,10.1039/D5TA01706H,0.229969282,Chloride,2.368,34.834,1.394,3,0.3,0.897945725,0.988896,3,0.419889503,0.5,114.82,6.94,0,30,10
293.0339864,0.281502568,Li2.7In0.8Zr0.2Cl6,10.1039/D5TA01706H,0.418073242,Chloride,2.401649485,35.21010309,1.411958763,4,0.278350515,0.938936795,0.988041322,4,0.397790055,0.45,114.82,6.94,0,38.8,9.7
293.034801,0.416242109,Li2.5YCl5.5,10.1016/j.mtchem.2023.101510,1.50E-06,Halide,2.338888889,33.47055556,1.417222222,3,0.277777778,0.900908873,1.082976,3,0.419889503,0.454545455,88.91,6.94,0,27,9
293.036553,0.403205884,Li1.3Al0.3Ti1.7(PO4)3-LiBO2·0.3H2O,10.1016/j.ceramint.2022.08.264,0.000189739,NASICON,2.779181034,18.90343966,1.068060345,7,0.099137931,1.269685898,0.862823669,5,0.192857143,0.160839161,47.87,1.008,1,162.4,23.2
293.0365988,0.362885889,Li2.75Y0.16Er0.16Yb0.16In0.25Zr0.25Cl6,10.1038/s41467-024-45864-1,0.000964334,Halide,2.364039054,36.17371017,1.41373073,7,0.282631038,1.046059421,0.976063776,5,0.397790055,0.458333333,173.05,6.94,0,68.11,9.73
293.0482027,0.323120437,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000285094,NASICON,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
293.0484661,1.089568578,Li1.3Al0.3Ti1.7P3O11.95S0.05,10.1039/d0cp03442h,5.67E-05,LATP,2.85147541,20.995,1.110874317,6,0.071038251,1.066860691,0.816910658,5,0.239130435,0.108333333,47.87,6.94,0,109.8,18.3
293.053518,0.272929731,Li2ZrCl5.5F0.5 ,10.1021/acsami.3c03513,0.000206719,Halide ,2.517777778,34.39722222,1.428888889,4,0.222222222,1.039909546,1.064241,3,0.397790055,0.333333333,91.22,6.94,0,36,9
293.0568861,0.132375921,Li3YBr5.7F0.3,10.1002/aenm.202101915,1.94E-05,Halide,2.2226,57.086,1.4751,4,0.3,1.017054871,1.072442975,3,0.387755102,0.5,88.91,6.94,0,40,10
293.0610154,0.262070407,Li2ZrCl5.75F0.25 ,10.1021/acsami.3c03513,0.000264414,Halide ,2.495,34.85416667,1.442222222,4,0.222222222,0.964155696,1.064241,3,0.397790055,0.333333333,91.22,6.94,0,36,9
293.0691696,0.30622892,Li3YBr6 ,10.1016/j.nanoen.2020.105097,0.000388338,Halide,2.192,58.913,1.494,3,0.3,0.897945725,0.889056,3,0.387755102,0.5,88.91,6.94,0,30,10
293.0720694,0.232749037,Li6.5P0.5Ge0.5S5I,10.1021/jacs.8b10282,0.001509913,Argyrodite,1.78,28.4562963,1.246296296,5,0.481481481,1.15670772,0.578331556,5,0.2,1.083333333,126.9,6.94,0,67.5,13.5
293.0726838,0.341556947,Li10SiP2S12,10.1021/acsami.2c20193,0.002274083,Thiophosphate,1.8816,21.7708,1.2384,4,0.4,1.049634821,0.56690144,4,0.217391304,0.833333333,32.07,6.94,0,100,25
293.0728242,0.607227939,Li7Si2S7I,10.1126/science.adh5115,0.005984103,Halide,1.845882353,26.83235294,1.247058824,4,0.411764706,1.149152377,0.569965398,4,0.181818182,0.875,126.9,6.94,0,68,17
293.072873,0.94106421,Li1.3Al0.3Ti1.7P3O11.98S0.02,10.1039/d0cp03442h,0.000403551,LATP,2.852885246,20.96865574,1.110153005,6,0.071038251,1.057242892,0.816910658,5,0.239130435,0.108333333,47.87,6.94,0,109.8,18.3
293.0745793,0.474261531,Li3/8Sr7/16Ta3/4Zr1/4O3,10.1016/j.ssi.2023.116324,8.51E-05,Perovskite,1.514117647,77.42529412,1.022352941,5,0.176470588,1.450337953,0.837941869,5,0.457142857,1,180.95,6.94,0,85,17
293.0771479,0.467296562,Li6.65Ga0.25La2.6Sr0.4Zr2O12,10.1149/2.0171903jes,1.56E-06,Perovskite,2.265669456,34.90523013,1.11292887,6,0.278242678,1.266948914,1.373998225,6,0.442857143,0.554166667,138.91,6.94,0,143.4,23.9
293.0791313,0.345420434,Li1.3Al0.3Te0.03Ti1.67(PO4)3,10.1016/j.electacta.2021.139367,0.000299413,NASICON,2.854743169,21.08179781,1.112295082,6,0.071038251,1.057402858,0.833672562,5,0.199095023,0.108333333,127.6,6.94,0,109.8,18.3
293.0800931,0.222965605,Li6.4Ga0.2La3Zr2O12,10.1021/acs.chemmater.6b00579,0.000943577,Garnet,2.28279661,35.9970339,1.115169492,5,0.271186441,1.209575925,1.36531104,5,0.442857143,0.533333333,138.91,6.94,0,118,23.6
293.0866716,0.37518654,Li3.8Si0.8P0.2S4,10.1006/jssc.2002.9701,8.35E-07,Thio-LISICON,1.818409091,20.83159091,1.210909091,4,0.431818182,1.025004099,0.527441,4,0.217391304,0.95,32.07,6.94,0,35.2,8.8
293.0878799,0.337663018,Li5.6PS4.6Cl1.4,10.1016/j.nanoen.2019.104396,0.001971066,Argyrodite,1.902380952,21.18936508,1.245555556,4,0.444444444,1.1735053,0.758263776,4,0.239130435,0.933333333,35.45,6.94,0,50.4,12.6
293.0945411,0.256492843,Li2.9In0.9Zr0.1Cl6,10.1039/D5TA01706H,0.370578702,Chloride,2.377474747,34.87737374,1.39959596,4,0.292929293,0.927571628,0.988041322,4,0.397790055,0.483333333,114.82,6.94,0,39.6,9.9
293.0945411,0.277694767,Li2.7In0.7Zr0.3Cl6,10.1039/D5TA01706H,0.442894014,Chloride,2.397010309,34.96680412,1.411134021,4,0.278350515,0.950324617,0.988041322,4,0.397790055,0.45,114.82,6.94,0,38.8,9.7
293.0945411,0.264470565,Li2.6In0.6Zr0.4Cl6,10.1039/D5TA01706H,0.543380894,Chloride,2.407083333,35.01291667,1.417083333,4,0.270833333,0.953234462,0.988041322,4,0.397790055,0.433333333,114.82,6.94,0,38.4,9.6
293.0952618,0.407909927,Li0.5La0.5TiO3,10.1557/PROC-575-337,0.00040438,Perovskite,2.58,33.759,1.141,4,0.1,1.088899975,1.275922222,4,0.435714286,0.166666667,138.91,6.94,0,20,5
293.0986981,0.352995002,Li6PS5Cl,10.1021/acs.nanolett.0c02489,0.001845823,Argyrodite,1.856153846,20.64692308,1.231538462,4,0.461538462,1.118968867,0.69516213,4,0.239130435,1,35.45,6.94,0,52,13
293.0991087,0.299027168,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000646899,NASICON,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
293.1006048,0.44979428,Li6.75Ga0.25La2.5Sr0.5Zr2O13,10.1149/2.0171903jes,8.67E-07,Perovskite,2.3069,33.832,1.1236,6,0.27,1.250170722,1.379111111,6,0.442857143,0.519230769,138.91,6.94,0,150,25
293.1034199,0.35743753,Li5.7PS4.7Cl1.3,10.1016/j.nanoen.2019.104396,0.002556118,Argyrodite,1.890551181,21.05055118,1.241968504,4,0.448818898,1.160871715,0.758263776,4,0.239130435,0.95,35.45,6.94,0,50.8,12.7
293.1067735,0.286015696,Li1.3Al0.3Ti1.7(PO4)3 ,10.1039/d4ta00068d,0.000731821,NASICON,2.853825137,20.9510929,1.109672131,5,0.071038251,1.049159727,0.856755,5,0.314285714,0.108333333,47.87,6.94,0,91.5,18.3
293.1152011,0.254709311,Li2ZrCl5.2S0.4,10.1002/batt.202500378,0.000352709,Halide,2.413255814,35.14744186,1.440465116,4,0.23255814,1.036320003,0.860681,4,0.391304348,0.357142857,91.22,6.94,0,34.4,8.6
293.1190823,0.64876612,Li3V2(PO4)3,10.1016/j.jeurceramsoc.2024.116941,2.00E-07,Phosphate,2.7025,20.3805,1.078,4,0.15,1.105889879,0.92581875,4,0.314285714,0.25,50.94,6.94,0,80,20
293.1214931,0.308848751,NaTaOCl4 ,10.1021/acsenergylett.4c01855,0.000891062,Oxyhalide,2.644285714,51.67714286,1.471428571,4,0,1.153741943,0.849310204,4,0.35359116,0,180.95,16,0,28,7
293.1215257,0.34231705,Li6.4Al0.2La3Zr2O12,10.1021/acs.chemmater.6b00579,0.000216041,Garnet,2.281101695,35.63483051,1.114491525,5,0.271186441,1.209575925,1.37366944,5,0.385714286,0.533333333,138.91,6.94,0,118,23.6
293.1221317,0.472282562,Li0.344Sr0.433Ca0.02Ta0.75Hf0.25O3,10.1016/j.ssi.2023.116324,8.26E-05,Perovskite,2.613814884,56.17332083,1.177273296,6,0.071711486,1.166542823,1.262923438,5,0.457142857,0.114666667,180.95,6.94,0,28.782,4.797
293.12433,0.195066707,Li3YBr6,10.1021/acs.chemmater.0c04352,0.002993123,Halide,2.192,58.913,1.494,3,0.3,0.897945725,0.889056,3,0.387755102,0.5,88.91,6.94,0,30,10
293.1247822,0.427097897,Li1.875YCl4.875,10.1016/j.mtchem.2023.101510,1.29E-06,Halide,2.382258065,35.45048387,1.438548387,3,0.241935484,0.899147457,1.03839375,3,0.419889503,0.384615385,88.91,6.94,0,23.25,7.75
293.1258106,0.43107042,Li1.5Al0.5Ge1.5(PO4)3,10.1021/acsami.3c03839,4.96E-05,NASICON,2.872432432,22.58135135,1.098648649,5,0.081081081,1.080768657,0.765246,5,0.314285714,0.125,72.63,6.94,0,92.5,18.5
293.1258106,0.433617456,Li1.5Al0.5Ge1.5(PO4)3,10.1021/acsami.3c03839,0.000156201,NASICON,2.872432432,22.58135135,1.098648649,5,0.081081081,1.080768657,0.765246,5,0.314285714,0.125,72.63,6.94,0,92.5,18.5
293.1279842,0.393276128,Li2.25YCl5.25,10.1016/j.mtchem.2023.101510,1.64E-06,Halide,2.354705882,34.19264706,1.425,3,0.264705882,0.901208471,1.082976,3,0.419889503,0.428571429,88.91,6.94,0,25.5,8.5
