compound,temperature,conductivity,log10_target,log10_predict,Ionic_Conductivity,residue,,,
Li5.0 La3.0Ta2.0O12,300,7.18E-07,-6.143875556,-6.157280051,6.96E-07,0.16572258,,,
Li5.5 La3.0Zr0.5Ta1.5O12,300,9.30E-05,-4.031517051,-3.555904921,2.78E-04,0.024981361,,,
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,1.50E-04,-3.823908741,-3.443592352,3.60E-04,0.04698785,,R2,0.84
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,9.00E-05,-4.045757491,-4.559429754,2.76E-05,0.192383609,,Corr,0.916515139
Li6.05 La2.95Zr1.0Ca0.05Ta1.0O12,300,1.29E-04,-3.88941029,-4.506202462,3.12E-05,0.001036166,,Mean,-3.731578649
Li6.0 La3.0Zr1.0Bi1.0O12,300,1.20E-05,-4.920818754,-3.935217702,1.16E-04,0.370231401,,STD,0.76053346
Li6.0 La3.0Zr1.0Sb1.0O12,300,2.60E-04,-3.585026652,-3.960597157,1.09E-04,0.596616657,,,
Li6.0 La3.0Zr1.0Ta1.0O12,300,2.60E-04,-3.585026652,-3.519230933,3.03E-04,0.243068981,,,
Li6.0 La3.0Zr1.0Ta1.0O12,300,8.30E-05,-4.080921908,-4.412456755,3.87E-05,8.27E-06,,,
Li6.2 La3.0Zr1.2Sb0.8O12,300,4.50E-04,-3.346787486,-3.184115696,6.54E-04,0.682196207,,,
Li6.2 La3.0Zr1.2Ta0.8O12,300,4.90E-06,-5.30980392,-5.438619439,3.64E-06,2.14231434,,,
Li6.25 La3.0Zr1.25Bi0.75O12,300,2.00E-04,-3.698970004,-3.79472178,1.60E-04,0.069139218,,,
Li6.3 La3.0Zr1.3Ta0.7O12,300,3.20E-04,-3.494850022,-3.350223981,4.46E-04,0.085779511,,,
Li6.375 La3.0Zr1.375Nb0.625O12,300,1.37E-03,-2.863279433,-2.9856673,1.03E-03,0.739435179,,,
Li6.3 La2.9Zr1.4Ca0.2Ta0.6O12,300,3.50E-04,-3.455931956,-3.129265903,7.43E-04,0.000756584,,,
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,2.84E-04,-3.54668166,-4.040086951,9.12E-05,0.003712663,,,
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,4.03E-04,-3.394694954,-3.599665745,2.51E-04,0.008291028,,,
Li6.4 La3.0Zr1.4Sb0.6O12,300,6.60E-04,-3.180456064,-3.020775927,9.53E-04,0.517964553,,,
Li6.4 La3.0Zr1.4Ta0.6O12,300,3.26E-04,-3.4867824,-3.441382307,3.62E-04,0.036469467,,,
Li6.4 La3.0Zr1.4Ta0.6O12,300,2.80E-04,-3.552841969,-3.931890426,1.17E-04,0.015602567,,,
Li6.4 La3.0Zr1.4Ta0.6O12,300,2.30E-04,-3.638272164,-3.694368994,2.02E-04,0.001558674,,,
Li6.4 La3.0Zr1.4Ta0.6O12,300,1.95E-04,-3.709965389,-4.220158118,6.02E-05,0.001037689,,,
Li6.87 La2.97Zr1.6Ta0.56O12,300,1.35E-03,-2.869666232,-2.773782492,1.68E-03,0.758225711,,,
