ID,composition,source,temperature,target,log_target,family,ChemicalFamily
289,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,293.15,8.08E-06,-5.092588639,Garnet,Oxides
169,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,10.1016/j.ssi.2004.05.009,294.15,6.76E-04,-3.170053304,NASICON,Oxides
172,Li1.4Al0.4Ti1.6(PO4)3,10.1016/j.ssi.2006.04.010,294.15,9.17E-04,-3.037630664,NASICON,Oxides
189,"""(Li2S)0.4 ((Ga2S3)0.1 (GeS2)0.9)0.6""",10.1016/j.ssi.2007.10.011,294.15,2.87E-06,-5.542118103,Glass,Sulphides
248,Li1.076Al0.6923Ti1.462(PO4)3,10.1016/S0167-2738(97)00018-0,294.15,8.25E-04,-3.083546051,NASICON,Oxides
891,Li6MgLa2Ta2O12,10.1149/1.2800764,294.25,1.92E-07,-6.716698771,Garnet,Oxides
250,LiGe2(PO4)3,10.1016/S0167-2738(97)00434-7,294.38,1.00E-06,-6,NASICON,Oxides
99,Li1.3Al0.3Ti1.7(PO4)3,10.1007/s11581-007-0197-5,294.57,3.33E-07,-6.477555766,NASICON,Oxides
759,Li6BaLa2Ta2O12 ,10.1002/adfm.200400044,295.15,4.00E-05,-4.397940009,Garnet,Oxides
760,Li6SrLa2Ta2O12,10.1002/adfm.200400044,295.15,7.00E-06,-5.15490196,Garnet,Oxides
814,Li6BaLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,295.15,6.00E-06,-5.22184875,Garnet,Oxides
815,Li6SrLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,295.15,4.20E-06,-5.37675071,Garnet,Oxides
816,Li6CaLa2Nb2O12,10.1111/j.1551-2916.2005.00060.x,295.15,1.60E-06,-5.795880017,Garnet,Oxides
2,Li2OHBr,10.1002/aenm.201700971,295.21,5.40E-07,-6.26760624,Anti-Perovskite,Oxides and Other Anions
79,Li0.24La0.59TiO3,10.1007/s10717-007-0032-5,296.15,1.66E-04,-3.779891912,Perovskite,Oxides
326,LiHfTi(PO4)3,10.1016/0025-5408(89)90129-3,296.15,5.63E-07,-6.249491605,NASICON,Oxides
153,"""(LiCl)0.25 ((Li2O)0.6 (P2O5)0.4)0.75""",10.1016/j.jpowsour.2008.07.089,296.81,2.45E-06,-5.610833916,Glass,Oxides and Other Anions
790,Li6.4La3Zr2Ga0.2O12 ,10.1021/cm5008069,297.15,9.00E-04,-3.045757491,Garnet,Oxides
795,Li6La3Nb1.5Y0.5O12 ,10.1021/jp304737x,297.15,1.88E-04,-3.725842151,Garnet,Oxides
17,Li7La3Zr2O12,10.1002/anie.200701144,298,5.11E-04,-3.2915791,Garnet,Oxides
21, Li6.4Al0.19La3Zr2O11.8,10.1016/j.jpowsour.2012.02.100,298,3.10E-04,-3.508638306,Garnet,Oxides
24,Li7La3Zr2O12,10.1016/j.jssc.2009.05.020,298,1.63E-06,-5.787812396,Garnet,Oxides
25,Li9.6P3S12,10.1038/nenergy.2016.30,298,1.58E-03,-2.801342913,Thio-LISICON,Sulphides
26,Li1.3Al0.3Ti1.7(PO4)3,10.1016/j.ssi.2014.07.018,298,6.20E-03,-2.207608311,NASICON,Oxides
27,Li1.3Al0.3Ti1.7(PO4)3,10.1016/j.ssi.2016.07.010,298,1.21E-03,-2.91721463,NASICON,Oxides
30,Li1.6Al0.6Ge0.8(PO4)3,10.1021/cm021717j,298,7.00E-04,-3.15490196,NASICON,Oxides
31,Li6.55La3Zr2Ga0.9O12,10.1021/cm5008069,298,1.30E-03,-2.886056648,Garnet,Oxides
35,LiTi2(PO4)3,10.1021/jp973296c,298,3.83E-07,-6.416801226,NASICON,Oxides
36,Li9.54Si1.74P1.44S11.7Cl0.3,10.1038/nenergy.2016.30,298,2.50E-02,-1.602059991,Thio-LISICON,Sulphides and Other Anions
39,Li7P3S11,10.1039/C3EE41655K,298,3.20E-03,-2.494850022,Thio-LISICON,Sulphides
40,Li1.4Al0.4Ti1.6(PO4)3,10.1039/C5TA08545D,298,5.63E-03,-2.249491605,NASICON,Oxides
8,Li6PO5Cl,10.1002/zaac.201000121,298.15,1.00E-09,-9,Argyrodite,Oxides and Other Anions
20,Li7.06La3Zr1.94Y0.06O12,10.1016/j.elecom.2011.08.014,298.15,9.56E-04,-3.019542108,Garnet,Oxides
29,Li1.2Ti1.8Sc0.2(PO4)3,10.1021/acs.inorgchem.6b02274,298.15,2.31E-04,-3.63638802,NASICON,Oxides
37,Li10GeP2S12,10.1016/j.ssi.2015.02.014,298.15,2.03E-03,-2.692503962,Thio-LISICON,Sulphides
41,Li6.46Al0.15La3Zr1.95O11.86,10.1016/j.ensm.2019.08.017,298.15,8.30E-05,-4.080921908,Garnet,Oxides
44,Li3.25Ge0.25P0.75S4,10.1016/j.ssi.2015.02.014,298.15,2.03E-03,-2.692503962,Thio-LISICON,Sulphides
60,La0.55Li0.36Ti0.992Al0.008O3,10.1007/BF02375549,298.15,6.54E-04,-3.184422252,Perovskite,Oxides
83,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,10.1007/s11581-006-0011-9,298.15,6.22E-04,-3.206209615,Perovskite,Oxides and Other Anions
86,"""(Li2S)0.4 ((P2S5)0.4 (Sb2S3)0.6)0.6""",10.1007/s11581-006-0054-y,298.15,1.60E-07,-6.795880017,Glass,Sulphides
98,Li1.3Al0.3Ti1.7(PO4)3,10.1007/s11581-007-0197-5,298.15,5.20E-07,-6.283996656,NASICON,Oxides
103,LiP0.9I0.1O2.7,10.1007/s11581-008-0252-x,298.15,3.98E-04,-3.400116928,Glass,Oxides and Other Anions
122,"""(Li2O)50 (Al2O3)2 (P2O5)48""",10.1016/j.jeurceramsoc.2008.12.016,298.15,3.16E-09,-8.500312917,Glass,Oxides
128,"""(Li2O)50 (Al2O3)3 (P2O5)47""",10.1016/j.jeurceramsoc.2008.12.016,298.15,5.75E-09,-8.240332155,Glass,Oxides
129,"""(Li2O)50 (Al2O3)4 (P2O5)46""",10.1016/j.jeurceramsoc.2008.12.016,298.15,9.12E-09,-8.040005162,Glass,Oxides
134,"""(LiI)0.3 ((Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7)0.7""",10.1016/j.ssi.2007.10.011,298.15,2.91E-04,-3.536107011,Glass,Sulphides and Other Anions
135,"""(Li2S)0.3 ((Ga2S3)0.1 (GeS2)0.9)0.7""",10.1016/j.ssi.2007.10.011,298.15,1.89E-06,-5.7242281,Glass,Sulphides and Other Anions
147,"""(Li2S)0.7 (P2S5)0.3""",10.1016/j.jpowsour.2006.04.037,298.15,3.20E-03,-2.494850022,Glass,Sulphides
149,"""(Li2S)0.8 (P2S5)0.2""",10.1016/j.jpowsour.2006.04.037,298.15,1.12E-03,-2.950781977,Glass,Sulphides
150,"""(Li2S)0.875 (P2S5)0.125""",10.1016/j.jpowsour.2006.04.037,298.15,2.10E-04,-3.677780705,Glass,Sulphides
158,Li1.4S2.2P0.6,10.1016/j.jpowsour.2008.09.044,298.15,2.00E-03,-2.698970004,Glass,Sulphides
160,Li1.4S2.2P0.6,10.1016/j.jpowsour.2008.09.044,298.15,4.33E-05,-4.363512104,Glass,Sulphides
181,Li1.4S2.2P0.6,10.1016/j.ssi.2006.07.017,298.15,4.64E-05,-4.333482019,Glass,Sulphides
197,Li6La2SrNb2O12,10.1016/j.ssi.2008.01.047,298.15,6.21E-07,-6.2069084,Garnet,Oxides
220,Li6BaLa2Ta2O12 ,10.1016/j.ssi.2008.10.022,298.15,1.28E-05,-4.89279003,Garnet,Oxides
239,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015,298.15,1.51E-06,-5.821023053,Garnet,Oxides
246,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,298.15,6.50E-05,-4.187086643,Thio-LISICON,Sulphides
249,Li1.5Al0.5Ge1.5(PO4)3,10.1016/S0167-2738(97)00434-7,298.15,2.18E-04,-3.661543506,NASICON,Oxides
252,Li4Nd3TeSbO12,10.1021/cm703677q,298.15,8.70E-09,-8.060480747,Garnet,Oxides
255,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,298.15,4.40E-07,-6.356547324,Glass,Oxides and Other Anions
301,Li6.75La3Zr1.75Ta0.25O12,10.1016/j.jpowsour.2012.01.131,298.15,8.96E-04,-3.04769199,Garnet,Oxides
302,"""(Li2S)50 (P2S5)17 (LiBH4)33""",10.1016/j.jpowsour.2012.12.001,298.15,1.43E-03,-2.844663963,Glass,Sulphides and Other Anions
310,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,10.1007/s10008-012-1780-x,298.15,4.26E-04,-3.370590401,NASICON,Oxides
311,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,10.1007/s10008-012-1780-x,298.15,2.69E-04,-3.57024772,NASICON,Oxides
312,Li1.15Fe0.15Ti1.85(PO4)3,10.1007/s11164-013-1348-0,298.15,5.22E-04,-3.282329497,NASICON,Oxides
313,LiTi2(PO4)3,10.1007/s11164-013-1348-0,298.15,7.20E-05,-4.142667504,NASICON,Oxides
327,Li0.2Zr1.2Nb0.8(PO4)3,10.1016/0025-5408(89)90129-3,298.15,2.38E-07,-6.623423043,NASICON,Oxides
332,Li1.6Ga0.6Ti1.4(PO4)3,10.1016/0167-2738(86)90176-1,298.15,1.30E-05,-4.886056648,NASICON,Oxides
333,Li1.2Sc0.2Ti1.8(PO4)3,10.1016/0167-2738(86)90179-7,298.15,2.46E-04,-3.609064893,NASICON,Oxides
334,Li1.8Sc0.8Ti1.2(PO4)3,10.1016/0167-2738(86)90179-7,298.15,8.80E-04,-3.055517328,NASICON,Oxides
335,Li1.3Sc0.3Ti1.7(PO4)3,10.1016/0167-2738(86)90179-7,298.15,5.68E-04,-3.245651664,NASICON,Oxides
336,Li1.1Sc0.1Ti1.9(PO4)3,10.1016/0167-2738(86)90179-7,298.15,1.58E-04,-3.801342913,NASICON,Oxides
337,Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,10.1016/0167-2738(86)90179-7,298.15,1.20E-04,-3.920818754,NASICON,Oxides
339,Li1.3In0.3Hf1.7(PO4)3,10.1016/0167-2738(86)90179-7,298.15,1.00E-05,-5,NASICON,Oxides
340,LiTi0.2Zr1.8(PO4)3,10.1016/0167-2738(86)90179-7,298.15,5.60E-08,-7.251811973,NASICON,Oxides
341,Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,10.1016/0167-2738(86)90179-7,298.15,3.10E-07,-6.508638306,NASICON,Oxides
342,LiTi1.8Zr0.2(PO4)3,10.1016/0167-2738(86)90179-7,298.15,8.50E-08,-7.070581074,NASICON,Oxides
343,LiTi0.5Zr1.5(PO4)3,10.1016/0167-2738(86)90179-7,298.15,6.20E-08,-7.207608311,NASICON,Oxides
346,LiTiZr(PO4)3,10.1016/0167-2738(86)90179-7,298.15,4.00E-08,-7.397940009,NASICON,Oxides
348,LiTi0.1Zr1.9(PO4)3,10.1016/0167-2738(86)90179-7,298.15,3.20E-08,-7.494850022,NASICON,Oxides
358,Li1.5Cr0.5Ti1.5(PO4)3,10.1149/1.2086597,298.15,3.91E-04,-3.407823243,NASICON,Oxides
359,Li1.6Cr0.6Ti1.4(PO4)3,10.1149/1.2086597,298.15,1.47E-04,-3.832682665,NASICON,Oxides
360,Li1.3Cr0.3Ti1.7 (PO4)3,10.1149/1.2086597,298.15,3.53E-05,-4.452225295,NASICON,Oxides
361,Li1.3Cr0.3Ge1.7(PO4)3,10.1016/0167-2738(88)90368-2,298.15,3.69E-05,-4.432973634,NASICON,Oxides
362,Li3Al0.4Sc1.6(PO4)3,10.1016/0167-2738(93)90015-U,298.15,1.28E-05,-4.89279003,NASICON,Oxides
363,Li1.2Fe0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.70E-04,-3.769551079,NASICON,Oxides
364,Li1.2In0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.32E-04,-3.879426069,NASICON,Oxides
365,Li1.3In0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.42E-04,-3.847711656,NASICON,Oxides
366,Li1.4In0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.42E-04,-3.847711656,NASICON,Oxides
367,Li1.1Fe0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,298.15,1.07E-04,-3.970616222,NASICON,Oxides
368,Li1.2Lu0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,9.79E-05,-4.009217308,NASICON,Oxides
369,Li1.2Y0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,298.15,3.19E-05,-4.496209317,NASICON,Oxides
