compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li5.0 La3.0Ta2.0O12,300,7.18e-07,-6.1438755557577,-6.157280051,6.96e-07,0.16572258,5.823009774,-7.145413809800953,7.154613706415125e-08
Li5.5 La3.0Zr0.5Ta1.5O12,300,9.3e-05,-4.031517051446065,-3.555904921,0.000278,0.024981361,0.090440233,-4.436622024805508,3.6591311459118346e-05
Li6.05 La2.95Zr1.0Ca0.05Ta1.0O12,300,0.000129,-3.889410289700751,-4.506202462,3.12e-05,0.001036166,0.025162229,-4.144803069296579,7.164682188655165e-05
Li6.0 La3.0Zr1.0Bi1.0O12,300,1.2e-05,-4.920818753952375,-3.935217702,0.000116,0.370231401,1.416182181,-5.53802199215887,2.897196873363837e-06
Li6.0 La3.0Zr1.0Sb1.0O12,300,0.00026,-3.5850266520291822,-3.960597157,0.000109,0.596616657,0.02124527,-3.6299071146432405,0.0002344730244248411
Li6.2 La3.0Zr1.2Sb0.8O12,300,0.00045,-3.3467874862246565,-3.184115696,0.000654,0.682196207,0.147453495,-3.4222353862964883,0.000378237525555804
Li6.2 La3.0Zr1.2Ta0.8O12,300,4.9e-06,-5.309803919971486,-5.438619439,3.64e-06,2.14231434,2.493303198,-6.012944009758124,9.70635095684795e-07
Li6.25 La3.0Zr1.25Bi0.75O12,300,0.0002,-3.6989700043360187,-3.79472178,0.00016,0.069139218,0.001012145,-2.746964542866798,0.0017907520505557294
Li6.3 La3.0Zr1.3Ta0.7O12,300,0.00032,-3.494850021680094,-3.350223981,0.000446,0.085779511,0.055664948,-3.3089738876068524,0.0004909373933704685
Li6.375 La3.0Zr1.375Nb0.625O12,300,0.00137,-2.8632794328435933,-2.9856673,0.00103,0.739435179,0.752564563,-2.778346320399675,0.0016659182259143874
Li6.3 La2.9Zr1.4Ca0.2Ta0.6O12,300,0.00035,-3.4559319556497243,-3.129265903,0.000743,0.000756584,0.07554377,-3.563619285377053,0.0002731371129524166
Li6.4 La3.0Zr1.4Sb0.6O12,300,0.00066,-3.1804560644581312,-3.020775927,0.000953,0.517964553,0.302861084,-3.1724382845228716,0.0006722978393007315
Li6.87 La2.97Zr1.6Ta0.56O12,300,0.00135,-2.869666231504994,-2.773782492,0.00168,0.758225711,0.741524197,-3.4181539741838876,0.00038180888083178184
Li5.9 La3.0Zr1.45W0.55O12,300,0.00044,-3.3565473235138126,-3.234618151,0.000583,0.787607732,0.140053258,-3.5190879029590234,0.0003026300830583611
Li7.07 La2.87Zr1.53Ta0.54O12,300,0.00029,-3.537602002101044,-3.802813258,0.000157,0.051238709,0.037319371,-3.645517140673106,0.00022619492637146672
Li6.5 La3.0Zr1.5Bi0.5O12,300,7.2e-06,-5.142667503568732,-5.5822689,2.62e-06,1.797971447,1.993414395,-5.81121822548771,1.5444781708777362e-06
Li6.5 La3.0Zr1.5Nb0.5O12,300,4.4e-05,-4.356547323513813,-5.021020671,9.53e-06,0.485267447,0.391579457,-3.7428564177628774,0.00018077716952007131
Li7.13 La2.93Zr1.48Ta0.47O12,300,0.0001,-4.0,-4.157781474,6.95e-05,0.110270354,0.072477134,-4.320055200606992,4.785692603440956e-05
Li6.94 La3.05Zr1.54Ta0.47O12,300,0.000418,-3.378823718224965,-2.89170504,0.00128,0.117077354,0.123876198,-3.6207938331855902,0.00023944521729208124
Li7.11 La2.95Zr1.49Ta0.46O12,300,0.000108,-3.96657624451305,-3.701223129,0.000199,0.103703913,0.055597877,-4.343306519112982,4.536213438932547e-05
Li6.1 La3.0Zr1.55W0.45O12,300,0.00064,-3.193820026016113,-3.056155441,0.000879,0.873698249,0.288330551,-3.206822928398124,0.0006211222280748506
Li6.8 La2.8Zr1.6Sr0.2Sb0.4O12,300,0.000172,-3.764471553092451,-3.839719636,0.000145,0.051031659,0.001134836,-3.9699988937844934,0.00010715220345671974
Li6.75 La2.85Zr1.6Sr0.15Sb0.4O12,300,0.000485,-3.3142582613977365,-3.068002214,0.000855,0.056267255,0.173493878,-1.8391734789962997,0.014481932569772853
Li6.7 La2.9Zr1.6Sr0.1Sb0.4O12,300,0.000533,-3.2732727909734276,-3.021462466,0.000952,0.077063221,0.209316712,-3.3229470350513917,0.0004753931996038066
Li6.66 La2.94Zr1.6Sr0.06Sb0.4O12,300,0.000883,-3.0540392964224314,-2.933499806,0.00117,0.156150367,0.457983698,-3.019993021109006,0.0009550079323889026
Li6.62 La2.98Zr1.6Sr0.02Sb0.4O12,300,0.000363,-3.4400933749638876,-3.447515598,0.000357,0.000809401,0.08450117,-3.427363932892666,0.0003737972199844972
Li7.0 La3.0Zr1.6Ge0.4O12,300,4.4e-05,-4.356547323513813,-4.430350645,3.71e-05,0.266863205,0.391579457,-4.760680139015685,1.7350814271281656e-05
Li6.3 La3.0Zr1.65W0.35O12,300,0.00066,-3.1804560644581312,-3.583799476,0.000125592,0.519238235,0.302861084,-3.159958641753639,0.0006918968577293554
Li7.0 La3.0Zr1.7Ge0.3O12,300,0.000478,-3.3205721033878812,-3.442091964,0.000152118,0.247254722,0.168273985,-3.365123685039396,0.0004313961997090131
Li6.4 La3.0Zr1.7Mo0.3O12,300,0.000353,-3.452225294612177,-3.897131362,0.000160489,0.117188762,0.077595077,-3.459200791009819,0.000347375519273624
Li6.4 La3.0Zr1.7W0.3O12,300,0.000789,-3.10292299679058,-2.854478361,0.000161164,0.475835751,0.394209721,-3.479313550709151,0.00033165492380452774
Li6.7 La3.0Zr1.7Ta0.3O12,300,0.00103,-2.9871627752948275,-2.262246314,0.000244923,0.38913627,0.55297286,-2.8467476482460907,0.0014231554876188773
Li6.65 La2.95Zr1.75Ga0.05Ba0.05Ta0.25O12,300,0.00072,-3.1426675035687315,-3.164752562,0.000294341,0.150917545,0.345881277,-3.1388863698489,0.0007262959628987299
Li6.8 La2.95Zr1.75Ba0.05Ta0.25O12,300,0.00065,-3.1870866433571443,-2.965043345,0.000339891,0.079283919,0.29560706,-3.1964392520804346,0.0006361517817785663
Li5.9 La3.0Zr1.75Al0.2W0.25O12,300,0.00052,-3.283996656365201,-3.341623561,0.000319011,0.045027605,0.199619131,-3.336387722577247,0.00046090591051952307
Li6.75 La3.0Zr1.75Bi0.25O12,300,5e-06,-5.301029995663981,-5.161133746,0.000174991,2.384073831,2.465671783,-5.367649636260613,4.288943881207976e-06
