orig_Temp_K,orig_avg_electronegativity,orig_avg_atomic_mass,orig_avg_ionic_radius,orig_num_elements,orig_li_fraction,orig_composition_entropy,orig_electronegativity_variance,orig_group_diversity,orig_packing_efficiency_proxy,orig_li_to_anion_ratio,orig_heaviest_element_mass,orig_lightest_element_mass,orig_is_mixture,orig_formula_complexity,orig_total_atoms,log_Ionic_Conductivity
307.9218479,1.927642276,24.14902439,1.265203252,5.0,0.430894309,1.301370133,0.726325,4.0,0.224489796,0.883333333,79.9,6.94,0.0,61.5,12.3,-2.2233596069686064
312.8416703,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.270212169362944
308.15,2.512307692,52.05653846,1.538846154,3.0,0.115384615,0.820799689,0.944925444,3.0,0.419889503,0.166666667,138.91,6.94,0.0,78.0,26.0,-5.262012673666569
303.1492971,1.9337625,22.57201875,1.259025,5.0,0.375,1.000290077,0.649064,3.0,0.239130435,0.75,121.76,6.94,0.0,40.0,8.0,-3.259920878914978
302.0896169,2.287843137,35.83251492,1.115686275,5.0,0.265984655,1.215222761,1.37366944,5.0,0.385714286,0.520868114,138.91,6.94,0.0,117.3,23.46,-3.39538088307328
302.7461487,2.872432432,22.58135135,1.098648649,5.0,0.081081081,1.080768657,0.765246,5.0,0.314285714,0.125,72.63,6.94,0.0,92.5,18.5,-3.580092142135345
312.8932937,2.284756871,35.91788584,1.116955603,6.0,0.281183932,1.224880661,1.375054438,6.0,0.514285714,0.554166667,138.91,6.94,0.0,141.9,23.65,-2.6655788221567263
299.6183206,1.840769231,24.06615385,1.243076923,4.0,0.461538462,1.118968867,0.657884024,4.0,0.224489796,1.0,79.9,6.94,0.0,52.0,13.0,-1.1978661298992856
303.180896,2.192,58.913,1.494,3.0,0.3,0.897945725,0.889056,3.0,0.387755102,0.5,88.91,6.94,0.0,30.0,10.0,-2.4891835065722505
303.0086981,2.392051282,34.94410256,1.408205128,4.0,0.282051282,0.946998139,0.988041322,4.0,0.397790055,0.458333333,114.82,6.94,0.0,39.0,9.75,-3.1097562005580848
303.0262394,1.636,35.958,1.264,3.0,0.6,0.950270539,0.646144,3.0,0.345454545,1.5,126.9,6.94,0.0,15.0,5.0,-6.607303046740334
297.8010776,2.326,27.848,1.395,3.0,0.3,0.897945725,1.054164,3.0,0.419889503,0.5,44.96,6.94,0.0,30.0,10.0,-2.539353940685042
303.284584,2.358974359,31.80794872,1.408461538,4.0,0.282051282,0.946998139,1.045328926,4.0,0.386740331,0.458333333,178.49,6.94,0.0,39.0,9.75,-3.0319978433115864
295.5386547,1.922096774,21.71370968,1.255080645,5.0,0.427419355,1.228572796,0.763784,5.0,0.239130435,0.883333333,40.08,6.94,0.0,62.0,12.4,-2.1932829866359547
303.3707865,2.269368421,36.22936842,1.113263158,5.0,0.284210526,1.203924315,1.379576,5.0,0.457142857,0.5625,180.95,6.94,0.0,118.75,23.75,-3.2259738087640994
293.3713923,2.105454545,29.38,1.430909091,4.0,0.272727273,1.120950393,0.486897521,3.0,0.222222222,0.5,78.97,6.94,1.0,44.0,11.0,-8.67366413907125
312.6978098,2.417368421,35.06,1.423157895,4.0,0.263157895,0.95148796,0.988041322,4.0,0.397790055,0.416666667,114.82,6.94,0.0,38.0,9.5,-2.772767027738558
293.9351518,2.618810046,53.17997318,1.552414045,4.0,0.09461107,0.866670171,0.991655556,4.0,0.35359116,0.129333333,180.95,6.94,0.0,16.404,4.101,-2.6335185803982513
303.3257502,1.709230769,17.496,0.793076923,5.0,0.615384615,1.178654996,0.918191716,4.0,0.059090909,4.0,126.9,1.008,0.0,65.0,13.0,-5.978810700930062
295.8353054,2.31826087,42.01086957,1.124347826,5.0,0.260869565,1.216933453,1.366863889,4.0,0.457142857,0.5,180.95,6.94,0.0,115.0,23.0,-3.913131417339619
303.1818323,2.423733333,31.60666667,1.420533333,4.0,0.253333333,0.942754573,1.005687603,4.0,0.298342541,0.395833333,91.22,6.94,0.0,37.5,9.375,-3.0629894153903034
302.9032963,2.7025,20.3805,1.078,4.0,0.15,1.105889879,0.92581875,4.0,0.314285714,0.25,50.94,6.94,0.0,80.0,20.0,-6.294992040666664
302.463828,1.931565126,22.60990546,1.259243697,4.0,0.368697479,1.022547633,0.552750769,4.0,0.239130435,0.737394958,32.07,6.94,1.0,3046.4,761.6,-4.016373712875465
308.2191781,2.416666667,45.47222222,1.498888889,4.0,0.222222222,1.149059697,0.903422222,3.0,0.327272727,0.333333333,126.9,6.94,0.0,36.0,9.0,-2.932201835559147
298.0892479,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.5532499317093214
298.2072067,2.519714286,38.68542857,1.473142857,4.0,0.2,0.892762352,0.944705,4.0,0.35359116,0.291666667,180.95,6.94,0.0,35.0,8.75,-2.9210225582596343
312.7407282,1.87890625,20.91390625,1.2384375,4.0,0.453125,1.147592187,0.758263776,4.0,0.239130435,0.966666667,35.45,6.94,0.0,51.2,12.8,-2.1044486765617783
305.0218613,2.883888889,21.53277778,1.116666667,4.0,0.055555556,0.973648923,0.68846821,4.0,0.314285714,0.083333333,47.87,6.94,0.0,72.0,18.0,-6.935542010773082
308.1151454,2.577857143,50.76589286,1.5325,4.0,0.125,0.896370568,0.991655556,4.0,0.35359116,0.175,180.95,6.94,0.0,16.8,4.2,-2.640294446141696
308.5492708,2.61,13.78666667,0.980833333,4.0,0.166666667,1.136994318,0.894633333,4.0,0.149171271,0.307692308,35.45,6.94,0.0,96.0,24.0,-3.443813326538881
300.1579779,2.838586957,21.15228261,1.11326087,5.0,0.076086957,1.066086137,0.88759875,5.0,0.314285714,0.116666667,47.87,6.94,0.0,92.0,18.4,-5.220403508742176
298.0994533,2.288297872,37.48234043,1.118297872,7.0,0.276595745,1.289122274,1.348724408,5.0,0.457142857,0.541666667,180.95,6.94,0.0,164.5,23.5,-3.7233291414000895
308.1151454,2.640192545,54.43192792,1.562883239,4.0,0.078745989,0.846738389,0.991655556,4.0,0.35359116,0.106333333,180.95,6.94,0.0,16.204,4.051,-2.7535262859833693
297.8453739,1.856153846,20.64692308,1.231538462,4.0,0.461538462,1.118968867,0.69516213,4.0,0.239130435,1.0,35.45,6.94,0.0,52.0,13.0,-2.4367723269724944
298.7182272,1.495,8.7075,0.6025,2.0,0.75,0.562335145,0.795675,2.0,0.171052632,0.0,14.01,6.94,0.0,8.0,4.0,-3.6845166730189445
293.8050851,2.548571429,25.83142857,1.1,3.0,0.142857143,0.955699891,1.090469388,3.0,0.478571429,0.25,54.94,6.94,0.0,21.0,7.0,-3.9029128309806964
308.9030989,1.927376238,23.1165099,1.25470297,5.0,0.381188119,1.033638603,0.692381818,3.0,0.239130435,0.77,208.98,6.94,0.0,40.4,8.08,-3.0620184728756366
304.4665522,1.898980583,22.06856796,1.239927184,5.0,0.38592233,1.127424459,0.583144307,5.0,0.217391304,0.795,35.45,6.94,0.0,123.6,24.72,-3.0590166007549886
