Feature,Mean_|SHAP|
mat2vec_138,0.3491358
inv_Temp_K,0.13996461
mat2vec_178,0.12982953
mat2vec_113,0.09209602
mat2vec_116,0.06181881
mat2vec_123,0.05926511
mat2vec_114,0.05383883
mat2vec_182,0.051294878
mat2vec_184,0.05097562
mat2vec_72,0.04850184
mat2vec_37,0.047714364
mat2vec_17,0.045897808
composition_entropy,0.03994784
heaviest_element_mass,0.037586033
mat2vec_127,0.03219532
mat2vec_9,0.031022074
mat2vec_69,0.030523485
mat2vec_131,0.03022439
mat2vec_90,0.02958162
mat2vec_148,0.028822472
mat2vec_187,0.0286152
mat2vec_161,0.028331194
mat2vec_15,0.02798878
mat2vec_108,0.02734385
mat2vec_31,0.02613032
mat2vec_39,0.022769716
mat2vec_33,0.022675144
avg_ionic_radius,0.022252478
mat2vec_196,0.02172267
mat2vec_92,0.021274947
mat2vec_57,0.021199519
mat2vec_29,0.019812336
mat2vec_7,0.019404335
mat2vec_142,0.01915017
mat2vec_135,0.01898192
mat2vec_51,0.018175518
mat2vec_20,0.017696338
mat2vec_73,0.016982544
mat2vec_143,0.016586516
mat2vec_101,0.016520964
mat2vec_156,0.015518375
mat2vec_99,0.015379383
mat2vec_14,0.014638113
mat2vec_165,0.014533907
electronegativity_variance,0.014513922
mat2vec_158,0.0144312605
mat2vec_145,0.01435416
packing_efficiency_proxy,0.014198626
mat2vec_50,0.01394547
mat2vec_36,0.013789545
mat2vec_27,0.013443812
mat2vec_13,0.01339968
mat2vec_45,0.013325705
mat2vec_149,0.012768987
mat2vec_63,0.012727599
mat2vec_25,0.012489011
mat2vec_175,0.012388182
mat2vec_160,0.012326908
mat2vec_164,0.01219787
mat2vec_42,0.012196504
mat2vec_100,0.012163409
mat2vec_111,0.012058056
mat2vec_11,0.011934383
mat2vec_144,0.011864166
mat2vec_134,0.011766391
mat2vec_59,0.011727574
mat2vec_154,0.011681788
mat2vec_130,0.011285678
mat2vec_4,0.011048913
mat2vec_77,0.010857975
mat2vec_24,0.010780822
mat2vec_22,0.010330655
mat2vec_117,0.010095398
mat2vec_2,0.009854237
mat2vec_105,0.009766648
mat2vec_88,0.009706293
mat2vec_157,0.009660259
mat2vec_55,0.009649007
