Feature,Mean_|SHAP|
mat2vec_138,0.37176114
mat2vec_178,0.12871125
mat2vec_113,0.09503364
Temp_K,0.086776875
mat2vec_114,0.06469431
mat2vec_116,0.063537225
mat2vec_123,0.056266792
mat2vec_72,0.052574415
mat2vec_17,0.050891202
mat2vec_184,0.050413202
mat2vec_37,0.046902813
heaviest_element_mass,0.043372646
mat2vec_182,0.039349157
mat2vec_9,0.037853435
mat2vec_69,0.03471585
mat2vec_15,0.032655913
mat2vec_131,0.03204268
mat2vec_187,0.031691678
mat2vec_90,0.030585824
composition_entropy,0.03010958
mat2vec_31,0.029676797
mat2vec_57,0.026240919
mat2vec_161,0.025999969
mat2vec_148,0.025685586
mat2vec_127,0.025616808
mat2vec_51,0.025131138
mat2vec_33,0.023526562
mat2vec_108,0.023311265
mat2vec_99,0.022098538
avg_ionic_radius,0.021926982
mat2vec_29,0.02080574
mat2vec_135,0.019627873
mat2vec_20,0.019404393
mat2vec_7,0.019321026
mat2vec_151,0.018456716
mat2vec_143,0.018274087
mat2vec_142,0.01794465
mat2vec_101,0.017821088
mat2vec_39,0.017707044
mat2vec_0,0.017512646
mat2vec_156,0.016986344
mat2vec_73,0.01670235
mat2vec_50,0.016577877
mat2vec_77,0.016347777
mat2vec_45,0.016337372
mat2vec_196,0.015988331
mat2vec_13,0.015716145
mat2vec_145,0.015650468
mat2vec_165,0.01525856
mat2vec_160,0.014930522
mat2vec_36,0.014805132
mat2vec_157,0.014132549
mat2vec_180,0.013821179
mat2vec_100,0.013777405
packing_efficiency_proxy,0.013772853
mat2vec_4,0.013632504
mat2vec_136,0.0135538
mat2vec_164,0.01311278
mat2vec_181,0.012672944
mat2vec_14,0.012546647
mat2vec_130,0.012490163
mat2vec_105,0.012334144
mat2vec_27,0.012187841
mat2vec_30,0.0120592825
mat2vec_158,0.0114076575
mat2vec_134,0.011349457
mat2vec_92,0.011270065
mat2vec_24,0.011144574
mat2vec_154,0.010786554
mat2vec_25,0.010736284
mat2vec_149,0.010736251
mat2vec_159,0.010483062
electronegativity_variance,0.010334859
mat2vec_95,0.010303928
mat2vec_32,0.010261027
mat2vec_173,0.0102046905
mat2vec_193,0.010050534
mat2vec_146,0.0099815205
mat2vec_119,0.009942359
mat2vec_11,0.009822484
mat2vec_117,0.009804424
mat2vec_2,0.009665089
mat2vec_78,0.009613637
mat2vec_42,0.009599016
mat2vec_86,0.009520022
mat2vec_186,0.00949203
mat2vec_197,0.009441035
mat2vec_22,0.009127279
mat2vec_83,0.009105456
mat2vec_81,0.008847002
mat2vec_198,0.008827815
mat2vec_121,0.008781635
mat2vec_64,0.0087718805
mat2vec_18,0.008701779
mat2vec_176,0.008550634
mat2vec_147,0.008462701
mat2vec_58,0.008412276
mat2vec_87,0.008406802
mat2vec_88,0.008404908
mat2vec_6,0.008394029
mat2vec_144,0.008123166
mat2vec_172,0.007997103
mat2vec_175,0.007981617
mat2vec_63,0.007955279
mat2vec_122,0.00785744
mat2vec_40,0.0078069516
mat2vec_10,0.007786756
mat2vec_124,0.0076762796
mat2vec_59,0.0076643303
mat2vec_166,0.0076459623
mat2vec_5,0.007574384
mat2vec_23,0.0075344895
mat2vec_61,0.0074071023
mat2vec_66,0.007289463
li_fraction,0.0070623658
mat2vec_8,0.007009331
mat2vec_3,0.006881715
mat2vec_110,0.0068233656
mat2vec_65,0.0067281076
mat2vec_62,0.0065850154
mat2vec_41,0.006579406
mat2vec_111,0.0065195467
mat2vec_189,0.0064442763
mat2vec_140,0.00639893
mat2vec_137,0.006264402
mat2vec_34,0.006262555
mat2vec_12,0.0062285764
mat2vec_120,0.0062248865
mat2vec_152,0.0060682283
mat2vec_128,0.0060318927
mat2vec_93,0.00597921
mat2vec_169,0.005977149
mat2vec_76,0.0059403484
mat2vec_191,0.005917195
mat2vec_48,0.005792481
mat2vec_47,0.0056929383
mat2vec_26,0.005614623
mat2vec_35,0.005576104
mat2vec_112,0.005435876
mat2vec_67,0.0053145303
mat2vec_1,0.0052798125
mat2vec_79,0.0050944802
mat2vec_115,0.0050909785
mat2vec_139,0.004919209
mat2vec_52,0.004879174
mat2vec_44,0.004592827
mat2vec_150,0.0044979434
mat2vec_153,0.004438091
mat2vec_60,0.004399616
mat2vec_16,0.004355167
mat2vec_80,0.004345683
mat2vec_167,0.0042834464
mat2vec_49,0.0042653563
mat2vec_21,0.0042647794
mat2vec_170,0.004264181
mat2vec_103,0.004233588
mat2vec_71,0.0041895914
mat2vec_163,0.0041551855
mat2vec_91,0.0041282894
mat2vec_133,0.004122479
mat2vec_56,0.0040696766
mat2vec_125,0.0039822194
mat2vec_109,0.0039625946
mat2vec_192,0.0039564916
mat2vec_82,0.0038695433
mat2vec_53,0.0038017354
mat2vec_177,0.0037866705
mat2vec_97,0.003704732
mat2vec_174,0.0035700058
mat2vec_74,0.0035410887
mat2vec_129,0.0034683333
mat2vec_194,0.0034529737
mat2vec_85,0.0034336944
mat2vec_188,0.0034208407
mat2vec_107,0.0032949708
mat2vec_102,0.0032631822
mat2vec_171,0.003216167
mat2vec_19,0.0031770247
mat2vec_141,0.0031342811
mat2vec_179,0.0031334832
mat2vec_89,0.003129961
mat2vec_183,0.0030713468
mat2vec_68,0.003071146
mat2vec_199,0.0029995504
mat2vec_38,0.002613856
mat2vec_126,0.002590764
mat2vec_104,0.0025151437
mat2vec_43,0.002277777
mat2vec_94,0.0022529543
mat2vec_106,0.002065073
mat2vec_46,0.0020274997
mat2vec_96,0.0019942394
mat2vec_185,0.0019846237
mat2vec_155,0.0019738802
mat2vec_168,0.0019557422
mat2vec_132,0.0019479602
mat2vec_84,0.0018947241
mat2vec_70,0.0018232545
mat2vec_75,0.0017794158
mat2vec_195,0.001759797
mat2vec_54,0.0016860103
mat2vec_28,0.001610615
mat2vec_162,0.0014952308
mat2vec_55,0.0014520101
mat2vec_118,0.001351433
mat2vec_98,0.0012562326
mat2vec_190,3.3245706e-05
